defect_id,linked_test_case,linked_execution,title,description,severity,priority,module,status,assigned_to,reported_by,created_date,resolved_date,root_cause,bug_type,reproducibility,found_in_build,fixed_build,regression,environment,developer,comments,fix_version
BUG-000001,TC-003557,EXEC-012473,Issue in Purchase: Team-oriented transitional concept,The accountant configured the transfer but the system raised a validation exception. The accountant attempted to confirm the employee record triggering a workflow notification. The warehouse operator configured the employee record but encountered a permission error. The warehouse operator calculated the transfer while ensuring all mandatory fields were populated. The user processed the invoice triggering a workflow notification. The warehouse operator attempted to confirm the incoming shipment but encountered a permission error.,Major,P3,Project,Closed,Alexander King,William Campbell,2026-07-13,2026-07-14,The system processed the incoming shipment and successfully completed the transaction. The accountant calculated the manufacturing order while ensuring all mandatory fields were populated.,Functional,Unable to Reproduce,B-4063,B-9956,Yes,UAT,Curtis Martin,The user configured the transfer but encountered a permission error.,v17.1.8
BUG-000002,TC-008797,EXEC-001114,Issue in CRM: Team-oriented value-added software,The manager verified the manufacturing order triggering a workflow notification. The manager verified the transfer which resulted in an AccessError. The system deleted the POS receipt after verifying the related documents. The API endpoint rejected the incoming shipment after verifying the related documents.,Major,P3,POS,In Progress,Melissa Fletcher,Richard Guerrero,2026-07-13,2026-07-14,The background job validated the subscription renewal triggering a workflow notification. The accountant escalated the invoice but the system raised a validation exception. The sales representative deleted the subscription renewal but encountered a permission error.,UI/UX,Intermittent,B-3430,B-6479,No,UAT,Juan Smith,The manager updated the POS receipt after verifying the related documents. The API endpoint processed the POS receipt and successfully completed the transaction.,v15.1.1
BUG-000003,TC-013900,EXEC-004706,Issue in HR: Face-to-face value-added matrices,The API endpoint attempted to confirm the employee record but encountered a permission error. The user rejected the transfer but the system raised a validation exception. The warehouse operator attempted to confirm the POS receipt triggering a workflow notification. The user attempted to confirm the subscription renewal due to missing configuration settings. The accountant rejected the subscription renewal triggering a workflow notification. The warehouse operator calculated the POS receipt after verifying the related documents.,Critical,P1,Website,Closed,Dana Mcmahon,Jay Warner,2026-07-13,2026-07-14,The warehouse operator configured the manufacturing order after verifying the related documents. The manager attempted to confirm the incoming shipment but the system raised a validation exception. The system processed the POS receipt which resulted in an AccessError.,Performance,Unable to Reproduce,B-2470,B-9002,Yes,UAT,Amber Peterson,The API endpoint validated the POS receipt after verifying the related documents. The accountant verified the incoming shipment which resulted in an AccessError.,v17.4.1
BUG-000004,TC-005443,EXEC-013356,Issue in HR: Open-architected 5thgeneration orchestration,The background job deleted the POS receipt triggering a workflow notification. The manager processed the employee record due to missing configuration settings. The sales representative configured the POS receipt triggering a workflow notification.,Minor,P2,Rental,New,Cheryl Bishop,Janet Kelley,2026-07-13,2026-07-14,The warehouse operator deleted the subscription renewal but encountered a permission error.,UI/UX,Intermittent,B-2183,B-9724,Yes,PROD,Michael James,The manager verified the incoming shipment after verifying the related documents. The manager rejected the employee record after verifying the related documents.,v15.3.3
BUG-000005,TC-015032,EXEC-009336,Issue in Helpdesk: Synergized interactive parallelism,The user updated the employee record and successfully completed the transaction. The accountant escalated the subscription renewal after verifying the related documents. The sales representative processed the subscription renewal while ensuring all mandatory fields were populated. The manager processed the subscription renewal and successfully completed the transaction. The warehouse operator deleted the manufacturing order while ensuring all mandatory fields were populated.,Major,P0,Accounting,Reopened,Kimberly Lopez,Leon Sullivan,2026-07-13,2026-07-14,The sales representative escalated the incoming shipment triggering a workflow notification. The manager deleted the manufacturing order due to missing configuration settings. The warehouse operator updated the invoice and successfully completed the transaction.,Security,Unable to Reproduce,B-1155,B-5037,Yes,PROD,James Padilla,The system processed the incoming shipment but the system raised a validation exception. The accountant rejected the subscription renewal after verifying the related documents.,v17.2.5
BUG-000006,TC-010097,EXEC-011957,Issue in Subscriptions: Grass-roots systematic flexibility,The accountant verified the subscription renewal due to missing configuration settings. The user calculated the subscription renewal but the system raised a validation exception. The accountant attempted to confirm the employee record due to missing configuration settings. The manager escalated the subscription renewal but the system raised a validation exception. The system processed the transfer while ensuring all mandatory fields were populated.,Minor,P3,HR,In Progress,Jeffrey Chen,Joseph Olson,2026-07-13,2026-07-14,The API endpoint rejected the subscription renewal and successfully completed the transaction. The background job processed the manufacturing order but encountered a permission error. The accountant escalated the POS receipt due to missing configuration settings.,Functional,Once,B-4456,B-6890,Yes,QA,Timothy Lee,The manager deleted the incoming shipment but encountered a permission error.,v16.2.2
BUG-000007,TC-017938,EXEC-019583,Issue in Studio: Universal bi-directional benchmark,The manager configured the invoice after verifying the related documents. The sales representative validated the incoming shipment due to missing configuration settings. The user calculated the invoice but encountered a permission error. The background job attempted to confirm the subscription renewal which resulted in an AccessError.,Critical,P3,Accounting,Reopened,Angelica Faulkner,Michael Nguyen,2026-07-13,2026-07-14,The warehouse operator processed the subscription renewal triggering a workflow notification.,Performance,Always,B-3792,B-6069,Yes,UAT,Ricardo Myers,The manager calculated the transfer but encountered a permission error.,v17.1.1
BUG-000008,TC-015243,EXEC-012376,Issue in CRM: Programmable exuding complexity,The warehouse operator deleted the incoming shipment and successfully completed the transaction. The background job attempted to confirm the incoming shipment and successfully completed the transaction. The API endpoint attempted to confirm the manufacturing order after verifying the related documents. The sales representative attempted to confirm the employee record while ensuring all mandatory fields were populated. The accountant deleted the invoice triggering a workflow notification.,Minor,P3,HR,Resolved,Emily Bonilla,Elizabeth Wagner,2026-07-13,2026-07-14,The system validated the transfer due to missing configuration settings.,UI/UX,Unable to Reproduce,B-1333,B-5945,Yes,QA,Richard Smith,The background job verified the invoice triggering a workflow notification. The warehouse operator escalated the invoice triggering a workflow notification.,v15.0.6
BUG-000009,TC-015171,EXEC-018525,Issue in Sales: Total static budgetary management,The warehouse operator verified the invoice while ensuring all mandatory fields were populated. The background job updated the transfer triggering a workflow notification. The accountant updated the subscription renewal after verifying the related documents. The background job validated the invoice after verifying the related documents. The system processed the manufacturing order triggering a workflow notification. The sales representative verified the incoming shipment triggering a workflow notification.,Major,P2,POS,In Progress,Brandon Perez,Barbara Woods,2026-07-13,2026-07-14,The system escalated the subscription renewal which resulted in an AccessError.,Security,Once,B-2844,B-7265,Yes,QA,Rachel Richmond,The sales representative deleted the POS receipt while ensuring all mandatory fields were populated. The API endpoint processed the employee record which resulted in an AccessError.,v17.0.8
BUG-000010,TC-018690,EXEC-015117,Issue in Inventory: Networked web-enabled collaboration,The background job updated the transfer but the system raised a validation exception. The manager configured the manufacturing order triggering a workflow notification. The manager validated the subscription renewal but encountered a permission error. The accountant updated the subscription renewal which resulted in an AccessError.,Major,P1,Website,In Progress,Joshua Phillips,Timothy Parrish MD,2026-07-13,2026-07-14,The user calculated the manufacturing order which resulted in an AccessError. The background job validated the incoming shipment triggering a workflow notification.,Security,Always,B-3373,B-6179,Yes,UAT,Shelby Rogers,The sales representative deleted the invoice after verifying the related documents. The manager escalated the POS receipt and successfully completed the transaction.,v15.1.9
