log_id,timestamp,user_action,exception_type,exception_message,origin_file,origin_line,origin_function,db_error_message,db_error_detail,http_status,session_id,resolution_hint,source_log_file,python_traceback,bug_id,execution_id,test_case_id,module
logs_001.txt:0,1973-06-05T07:17:25,The API endpoint calculated the transfer due to missing configuration settings.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/hr/models/record.py,158,action_confirm,"duplicate key value violates unique constraint ""hr_unique_id""",Key (name)=(Test_Record_001) already exists.,404,0c5836b3-6ad1-49f5-a61a-fa3184412070,The background job escalated the subscription renewal which resulted in an AccessError.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/hr/models/record.py"", line 158, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 1666, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-003596,EXEC-016067,TC-015914,HR
logs_001.txt:1,2025-04-02T12:28:37,The API endpoint verified the manufacturing order after verifying the related documents.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/website/models/record.py,418,action_confirm,"duplicate key value violates unique constraint ""website_unique_id""",Key (name)=(Test_Record_001) already exists.,500,078a1ac0-6e0d-48a1-9cab-4bfd1c984a8d,The system updated the manufacturing order due to missing configuration settings.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/website/models/record.py"", line 418, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 1533, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-003688,EXEC-013238,TC-009863,Website
logs_001.txt:2,1993-11-11T04:36:06,The system calculated the subscription renewal which resulted in an AccessError.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/inventory/models/record.py,459,action_confirm,"duplicate key value violates unique constraint ""inventory_unique_id""",Key (name)=(Test_Record_001) already exists.,503,c6eb169d-7d86-4692-8361-1c8769b0ef8a,The sales representative escalated the subscription renewal but encountered a permission error.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/inventory/models/record.py"", line 459, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 1181, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-002237,EXEC-004264,TC-004644,Inventory
logs_001.txt:3,1981-04-29T19:12:56,The user escalated the incoming shipment triggering a workflow notification.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/knowledge/models/record.py,23,action_confirm,"duplicate key value violates unique constraint ""knowledge_unique_id""",Key (name)=(Test_Record_001) already exists.,403,a677c225-95b1-4c2e-b1e2-a167f7224b61,The user updated the incoming shipment due to missing configuration settings.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/knowledge/models/record.py"", line 23, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 1977, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-007689,EXEC-006846,TC-014251,Knowledge
logs_001.txt:4,2024-06-05T06:47:51,The API endpoint attempted to confirm the manufacturing order but the system raised a validation exception.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/knowledge/models/record.py,467,action_confirm,"duplicate key value violates unique constraint ""knowledge_unique_id""",Key (name)=(Test_Record_001) already exists.,404,516f1eb9-2e4f-4108-80df-3728d526a395,The manager updated the incoming shipment but encountered a permission error.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/knowledge/models/record.py"", line 467, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 1491, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-006198,EXEC-015145,TC-012026,Knowledge
logs_001.txt:5,1975-10-05T08:05:39,The system calculated the subscription renewal which resulted in an AccessError.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/knowledge/models/record.py,182,action_confirm,"duplicate key value violates unique constraint ""knowledge_unique_id""",Key (name)=(Test_Record_001) already exists.,503,dd81362c-a3e1-4a65-8f0c-ed5b790f8f28,The accountant rejected the invoice after verifying the related documents.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/knowledge/models/record.py"", line 182, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 2128, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-005503,EXEC-013247,TC-000990,Knowledge
logs_001.txt:6,1983-11-27T14:20:36,The system processed the employee record and successfully completed the transaction.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/crm/models/record.py,347,action_confirm,"duplicate key value violates unique constraint ""crm_unique_id""",Key (name)=(Test_Record_001) already exists.,403,5b995c38-bd68-48cb-b6e1-45afef7ae239,The warehouse operator rejected the incoming shipment triggering a workflow notification.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/crm/models/record.py"", line 347, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 1340, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-001576,EXEC-011150,TC-008737,CRM
logs_001.txt:7,1978-11-06T15:02:12,The warehouse operator escalated the manufacturing order which resulted in an AccessError.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/rental/models/record.py,179,action_confirm,"duplicate key value violates unique constraint ""rental_unique_id""",Key (name)=(Test_Record_001) already exists.,503,4ba283da-f2ac-4f57-9811-3272a4d138e4,The manager validated the employee record due to missing configuration settings.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/rental/models/record.py"", line 179, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 1109, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-006083,EXEC-012209,TC-011462,Rental
logs_001.txt:8,1977-09-17T13:32:42,The user configured the transfer triggering a workflow notification.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/website/models/record.py,228,action_confirm,"duplicate key value violates unique constraint ""website_unique_id""",Key (name)=(Test_Record_001) already exists.,500,c7ea4e70-afbf-4e23-8d1d-60836ff60f6b,The system configured the subscription renewal triggering a workflow notification.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/website/models/record.py"", line 228, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 2819, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-009277,EXEC-014109,TC-018246,Website
logs_001.txt:9,1988-05-26T21:27:42,The manager configured the incoming shipment after verifying the related documents.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/ecommerce/models/record.py,24,action_confirm,"duplicate key value violates unique constraint ""ecommerce_unique_id""",Key (name)=(Test_Record_001) already exists.,500,165c15d2-58cb-4034-aec4-569a0359c373,The sales representative calculated the subscription renewal but encountered a permission error.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/ecommerce/models/record.py"", line 24, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 1852, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-006385,EXEC-009952,TC-006504,eCommerce
logs_001.txt:10,2003-11-24T16:28:49,The user verified the manufacturing order after verifying the related documents.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/rental/models/record.py,171,action_confirm,"duplicate key value violates unique constraint ""rental_unique_id""",Key (name)=(Test_Record_001) already exists.,400,07616916-1b83-4fdb-a6f2-f45891d4ca67,The accountant calculated the employee record after verifying the related documents.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/rental/models/record.py"", line 171, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 2486, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-000684,EXEC-009887,TC-012481,Rental
logs_001.txt:11,2015-11-28T17:01:34,The warehouse operator rejected the employee record and successfully completed the transaction.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/inventory/models/record.py,28,action_confirm,"duplicate key value violates unique constraint ""inventory_unique_id""",Key (name)=(Test_Record_001) already exists.,500,96f1e799-82a5-4a42-9dec-072a692ded0c,The accountant calculated the invoice but the system raised a validation exception.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/inventory/models/record.py"", line 28, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 2248, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-009989,EXEC-000460,TC-010799,Inventory
logs_001.txt:12,2006-02-20T00:50:27,The system rejected the employee record but the system raised a validation exception.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/quality/models/record.py,492,action_confirm,"duplicate key value violates unique constraint ""quality_unique_id""",Key (name)=(Test_Record_001) already exists.,400,ac921600-4af0-4ed9-8c72-2c88798a083d,The accountant processed the transfer which resulted in an AccessError.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/quality/models/record.py"", line 492, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 2261, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-001519,EXEC-003234,TC-008296,Quality
logs_001.txt:13,1985-12-01T17:49:08,The sales representative verified the manufacturing order while ensuring all mandatory fields were populated.,AccessError,Access Denied: You do not have the required permissions.,/odoo/addons/project/models/record.py,331,action_confirm,"duplicate key value violates unique constraint ""project_unique_id""",Key (name)=(Test_Record_001) already exists.,500,10611223-c676-4893-ad4a-8ede6c14fa3e,The system configured the employee record after verifying the related documents.,logs_001.txt,"Traceback (most recent call last): File ""/odoo/addons/project/models/record.py"", line 331, in action_confirm self._validate_permissions() File ""/odoo/odoo/models.py"", line 1335, in _validate_permissions raise AccessError(""Access Denied"") odoo.exceptions.AccessError: Access Denied: You do not have the required permissions.",BUG-000754,EXEC-013935,TC-009533,Project
