screenshot_id,source_file,record_index,bug_id,execution_id,test_case_id,screen_name,module,buttons_json,labels_json,menus_json,dialog_boxes_json,tables_json,warning_messages_json,error_messages_json,field_values_json,captured_time,user_action
ocr_batch_001.json:0,ocr_batch_001.json,0,BUG-001585,EXEC-002249,TC-014555,Inventory Dashboard,HR,"[""Ago"", ""Imagine"", ""Bed"", ""Agree"", ""Author""]","[""Our"", ""Another"", ""Notice""]","[""File"", ""Edit"", ""View"", ""Reports"", ""Configuration""]","[""Confirm Spend?""]","[""Film List""]","[""The API endpoint attempted to confirm the manufacturing order and successfully completed the transaction.""]","[""The user configured the POS receipt which resulted in an AccessError.""]","{""government"": ""avoid"", ""like"": ""interview"", ""the"": ""pressure""}",1979-12-05T16:39:33,The warehouse operator configured the incoming shipment but the system raised a validation exception. The system configured the manufacturing order and successfully completed the transaction.
ocr_batch_001.json:1,ocr_batch_001.json,1,BUG-003851,EXEC-017509,TC-019679,Studio Dashboard,Project,"[""Relationship"", ""Bank"", ""Few"", ""Practice"", ""Offer""]","[""Will"", ""That"", ""Her"", ""Some""]","[""File"", ""Edit"", ""View"", ""Reports"", ""Configuration""]","[""Confirm Life?""]","[""Authority List""]","[""The warehouse operator configured the invoice due to missing configuration settings.""]","[""""]","{""audience"": ""more"", ""share"": ""action"", ""early"": ""time""}",1999-06-10T03:47:57,The accountant configured the subscription renewal which resulted in an AccessError. The manager processed the transfer triggering a workflow notification.
ocr_batch_001.json:2,ocr_batch_001.json,2,BUG-007563,EXEC-011789,TC-017307,POS Dashboard,Rental,"[""Important"", ""Customer"", ""Ok"", ""Food"", ""Say""]","[""Two"", ""Design"", ""Top"", ""Bill"", ""Hotel"", ""Because"", ""For"", ""Pull""]","[""File"", ""Edit"", ""View"", ""Reports"", ""Configuration""]","[""Confirm From?""]","[""Site List""]","[""The manager calculated the transfer but the system raised a validation exception.""]","[""The background job updated the subscription renewal triggering a workflow notification.""]","{""test"": ""lay"", ""type"": ""care"", ""investment"": ""tell"", ""seem"": ""report"", ""size"": ""go"", ""board"": ""lay""}",2003-06-16T07:10:32,The manager processed the employee record while ensuring all mandatory fields were populated. The background job deleted the POS receipt after verifying the related documents.
ocr_batch_001.json:3,ocr_batch_001.json,3,BUG-007737,EXEC-000344,TC-016039,Purchase Dashboard,Knowledge,"[""Opportunity"", ""Water"", ""Serious"", ""Remain"", ""Begin""]","[""Whether"", ""Watch"", ""Behavior"", ""Guy"", ""Morning"", ""Lose""]","[""File"", ""Edit"", ""View"", ""Reports"", ""Configuration""]","[""Confirm Her?""]","[""Stage List""]","[""""]","[""""]","{""election"": ""goal"", ""capital"": ""any"", ""bar"": ""as"", ""parent"": ""better""}",1993-05-16T17:23:35,The accountant attempted to confirm the incoming shipment but encountered a permission error. The background job processed the invoice and successfully completed the transaction.
ocr_batch_001.json:4,ocr_batch_001.json,4,BUG-008092,EXEC-016344,TC-000259,Purchase Dashboard,CRM,"[""Factor"", ""Professional"", ""Personal"", ""Visit"", ""Former""]","[""Choice"", ""Company"", ""Within"", ""Matter"", ""Sign"", ""Human"", ""Any""]","[""File"", ""Edit"", ""View"", ""Reports"", ""Configuration""]","[""Confirm Tree?""]","[""Pm List""]","[""The background job processed the POS receipt while ensuring all mandatory fields were populated.""]","[""""]","{""pull"": ""for"", ""international"": ""along"", ""measure"": ""find"", ""better"": ""knowledge"", ""car"": ""foreign""}",2025-01-06T12:14:23,The accountant verified the manufacturing order and successfully completed the transaction.
ocr_batch_001.json:5,ocr_batch_001.json,5,BUG-000306,EXEC-002818,TC-013325,Website Dashboard,Project,"[""Front"", ""Actually"", ""Offer""]","[""One"", ""Performance"", ""Force"", ""Continue"", ""Wide"", ""Listen"", ""System"", ""Court""]","[""File"", ""Edit"", ""View"", ""Reports"", ""Configuration""]","[""Confirm Too?""]","[""Agreement List""]","[""The system rejected the employee record but encountered a permission error.""]","[""""]","{""lawyer"": ""production"", ""unit"": ""international"", ""our"": ""official"", ""live"": ""seat"", ""world"": ""loss"", ""start"": ""four""}",1974-05-04T10:04:40,The accountant configured the manufacturing order and successfully completed the transaction. The API endpoint rejected the POS receipt due to missing configuration settings.
ocr_batch_001.json:6,ocr_batch_001.json,6,BUG-009475,EXEC-014376,TC-013550,CRM Dashboard,CRM,"[""Dark"", ""Chance""]","[""Tree"", ""Least"", ""Sound""]","[""File"", ""Edit"", ""View"", ""Reports"", ""Configuration""]","[""Confirm Yes?""]","[""Including List""]","[""""]","[""""]","{""threat"": ""into"", ""scientist"": ""that""}",1994-04-03T12:13:32,The sales representative calculated the incoming shipment which resulted in an AccessError. The background job rejected the invoice and successfully completed the transaction.
ocr_batch_001.json:7,ocr_batch_001.json,7,BUG-004941,EXEC-003958,TC-010002,Knowledge Dashboard,Accounting,"[""Unit"", ""Already"", ""Soldier""]","[""Main"", ""Usually"", ""Prove"", ""Pass""]","[""File"", ""Edit"", ""View"", ""Reports"", ""Configuration""]","[""Confirm Wonder?""]","[""Set List""]","[""The sales representative processed the POS receipt due to missing configuration settings.""]","[""""]","{""believe"": ""tell"", ""black"": ""bed"", ""decade"": ""trade"", ""pass"": ""good"", ""whom"": ""country""}",2001-08-05T05:41:55,The manager configured the incoming shipment but encountered a permission error. The warehouse operator deleted the incoming shipment due to missing configuration settings.
ocr_batch_001.json:8,ocr_batch_001.json,8,BUG-008496,EXEC-013763,TC-013415,Quality Dashboard,Website,"[""Type"", ""Worry""]","[""Meeting"", ""Event"", ""Nearly"", ""Media"", ""Sell"", ""Huge"", ""Range""]","[""File"", ""Edit"", ""View"", ""Reports"", ""Configuration""]","[""Confirm Growth?""]","[""Only List""]","[""""]","[""""]","{""law"": ""others""}",1988-05-11T16:22:47,The accountant rejected the transfer but encountered a permission error. The warehouse operator attempted to confirm the POS receipt triggering a workflow notification.
ocr_batch_001.json:9,ocr_batch_001.json,9,BUG-003833,EXEC-005362,TC-010043,Quality Dashboard,Website,"[""Agree"", ""Seek"", ""Way"", ""Ever""]","[""Decade"", ""Example"", ""Space""]","[""File"", ""Edit"", ""View"", ""Reports"", ""Configuration""]","[""Confirm Heart?""]","[""Summer List""]","[""The system attempted to confirm the transfer which resulted in an AccessError.""]","[""The warehouse operator calculated the incoming shipment but encountered a permission error.""]","{""might"": ""whole"", ""nice"": ""conference"", ""project"": ""street"", ""however"": ""hundred"", ""environment"": ""teach""}",2006-08-24T14:12:04,The sales representative calculated the transfer due to missing configuration settings. The background job validated the invoice triggering a workflow notification.
